Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['4981', 'Waterside', 'Pointe', 'Circle', 'Orlando', 'FL', '32829']",4 beds,2 baths,"1,484 sq. ft",Residental,"$384,900"
"['727', 'Hayden', 'Lane', '727', 'Orlando', 'FL', '32804']",2 beds,1 bath,"1,296 sq. ft",Residental,"$285,000"
"['900', 'S', 'Econlockhatchee', 'Trail', 'Orlando', 'FL', '32825']",NaN,NaN,NaN,Residental,"$275,000"
"['2966', 'S', 'Semoran', 'Boulevard', '#1605', 'Orlando', 'FL', '32822']",2 beds,2 baths,889 sq. ft,Residental,"$185,000"
"['6643', 'Hidden', 'Beach', 'Circle', 'Orlando', 'FL', '32819']",4 beds,3 baths,"2,906 sq. ft",Residental,"$1,450,000"
"['1907', 'Illinois', 'Street', 'Orlando', 'FL', '32803']",5 beds,3 baths,"2,848 sq. ft",Residental,"$1,200,000"
"['3330', 'Timucua', 'Circle', 'Orlando', 'FL', '32837']",4 beds,3 baths,"2,743 sq. ft",Residental,"$714,999"
"['4138', 'Bell', 'Tower', 'Court', 'Belle', 'Isle', 'FL', '32812']",3 beds,2 baths,"2,346 sq. ft",Residental,"$532,500"
"['13206', 'St', 'Cole', 'Court', 'Orlando', 'FL', '32828']",5 beds,3 baths,"2,371 sq. ft",Residental,"$505,000"
"['11817', 'Citruswood', 'Drive', 'Orlando', 'FL', '32832']",4 beds,3 baths,"1,872 sq. ft",Residental,"$399,000"
"['2612', 'Drake', 'Drive', 'Orlando', 'FL', '32810']",3 beds,2 baths,"2,406 sq. ft",Residental,"$398,000"
"['4731', 'Deer', 'Road', 'Orlando', 'FL', '32812']",3 beds,2 baths,"2,098 sq. ft",Residental,"$379,000"
"['9720', 'Winder', 'Trail', 'Orlando', 'FL', '32817']",3 beds,2 baths,"1,054 sq. ft",Residental,"$345,000"
"['7337', 'Radiant', 'Circle', 'Orlando', 'FL', '32810']",3 beds,2 baths,"1,572 sq. ft",Residental,"$310,000"
"['2799', 'Heatherside', 'Avenue', 'Orlando', 'FL', '32822']",3 beds,2 baths,"1,387 sq. ft",Residental,"$300,000"
"['440', 'Delaney', 'Park', 'Drive', 'Orlando', 'FL', '32806']",4 beds,5 baths,"3,252 sq. ft",Residental,"$1,075,000"
"['10690', 'Willow', 'Ridge', 'Loop', 'Orlando', 'FL', '32825']",6 beds,3 baths,"2,707 sq. ft",Residental,"$559,999"
"['10567', 'Satinwood', 'Circle', 'Orlando', 'FL', '32825']",3 beds,2 baths,"1,626 sq. ft",Residental,"$449,000"
