Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['4845','Pat','Ann','Terrace','Orlando','FL','32808']",3,2,1745,Residential,265000
"['1059','S','Hiawassee','Road','1824','Orlando','FL','32835']",2,2,836,Residential,249999
"['6734','Meritmoor','Circle','Orlando','FL','32818']",3,2,1067,Residential,245000
"['8101','Resort','Village','Drive','31208','Orlando','FL','32821']",2,2,1060,Residential,218000
"['1017','S','Hiawassee','Road','3733','Orlando','FL','32835']",1,1,673,Residential,169990
"['4326','Lakeway','Drive','E','Orlando','FL','32839']",2,2,976,Residential,125000
"['4342','Lakeway','Drive','A','Orlando','FL','32839']",1,1,642,Residential,82000
"['1916','N','Hastings','Street','Orlando','FL','32808']",3,2,1740,Residential,325000
"['2912','Eastern','Willow','Ave','Orlando','FL','32808']",2,2,1040,Residential,109500
"['14172','Moniz','Avenue','Orlando','FL','32827']",5,4,3314,Residential,1200000
"['620','E','Marks','Street','Orlando','FL','32803']",4,3,2634,Residential,899000
"['2140','Cascades','Cove','Drive','Orlando','FL','32820']",5,3,3210,Residential,598000
"['2579','Bancroft','Boulevard','Orlando','FL','32833']",4,2,2023,Residential,545000
"['520','Tuten','Trail','Orlando','FL','32828']",4,2,2482,Residential,465000
"['4331','Old','Dominion','Road','Orlando','FL','32812']",4,2,2735,Residential,449999
"['1808','Edmundshire','Road','Orlando','FL','32812']",3,2,2285,Residential,425000
"['2479','Citrus','Club','Lane','3303','Orlando','FL','32839']",2,2,1232,Residential,169500
"['13615','Ritta','Island','Drive','Orlando','FL','32827']",5,4,3333,Residential,1100000
"['1015','N','Hampton','Avenue','Orlando','FL','32803']",3,2,1979,Residential,649900
"['13213','Lake','Live','Oak','Drive','Orlando','FL','32828']",5,4,3053,Residential,645000
"['3607','N','Westmoreland','Drive','Orlando','FL','32804']",3,2,2047,Residential,635000
"['10025','Savannah','Bluff','Lane','Orlando','FL','32829']",4,2,1972,Residential,465000
"['3427','Windy','Wood','Drive','Orlando','FL','32812']",4,2,2291,Residential,439900
"['7842','Holiday','Isle','Drive','101','Orlando','FL','32812']",3,3,1721,Residential,435000
"['317','E','Jersey','Street','Orlando','FL','32806']",3,2,1561,Residential,399900
"['10058','River','Glen','Court','Orlando','FL','32825']",4,2,1913,Residential,399000
"['602','Herons','Nest','Court','Orlando','FL','32825']",3,2,1801,Residential,395000
"['975','Enclair','Street','Orlando','FL','32828']",3,2,1762,Residential,357900
"['3224','Merton','Alley','Orlando','FL','32808']",3,2,1594,Residential,349990
"['2620','Bluebonnet','Street','Orlando','FL','32807']",2,2,1848,Residential,345000
"['9030','Tecumseh','Drive','Orlando','FL','32825']",3,2,1308,Residential,332500
"['2120','Justin','Avenue','Orlando','FL','32826']",3,2,1166,Residential,325000
"['5505','Tartan','Drive','Orlando','FL','32807']",3,1,1148,Residential,317000
"['4988','Clarcona','Ocoee','Road','Orlando','FL','32810']",3,2,1957,Residential,317000
"['6206','Castelven','Drive','106','Orlando','FL','32835']",2,2,1546,Residential,310000
"['10262','Chiltern','Garden','Drive','Orlando','FL','32827']",3,3,2486,Residential,1650000
"['4149','Sunset','Preserve','Boulevard','Orlando','FL','32820']",4,3,3313,Residential,774900
"['9018','Heritage','Bay','Circle','Orlando','FL','32836']",4,3,2164,Residential,690000
"['7201','Greenville','Court','Orlando','FL','32819']",4,3,2084,Residential,619000
"['1312','Corbett','Lane','Orlando','FL','32806']",3,2,1869,Residential,550000
"['4162','Evander','Drive','Orlando','FL','32812']",3,2,2114,Residential,499000
"['13761','Phoenix','Drive','Orlando','FL','32828']",3,2,1624,Residential,425000
"['8502','Butternut','Boulevard','Orlando','FL','32817']",3,2,1782,Residential,425000
"['572','Mellowood','Avenue','Orlando','FL','32825']",3,2,1798,Residential,420000
"['3832','Landlubber','Street','Orlando','FL','32812']",3,2,1444,Residential,399900
"['5215','Tyson','Ranch','Boulevard','Orlando','FL','32824']",3,2,1669,Residential,393800
"['13212','Meadowlark','Lane','Orlando','FL','32828']",3,2,1614,Residential,385000
"['1436','Timberbend','Circle','Orlando','FL','32824']",3,2,1378,Residential,359000
"['6160','Mattox','Street','Orlando','FL','32822']",4,2,1496,Residential,349900
"['14255','Swanley','Street','Orlando','FL','32832']",2,2,1360,Residential,345000
"['149','Mercado','Avenue','Orlando','FL','32807']",3,1,1150,Residential,300000
"['8125','Resort','Village','Dr','51114','Orlando','FL','32821']",3,2,1231,Residential,295000
"['4818','Balboa','Drive','Orlando','FL','32808']",3,1,1378,Residential,199000
"['7500','Harbor','Bend','Circle','Orlando','FL','32822']",3,2,1589,Residential,399999
"['3808','Harbour','Drive','Orlando','FL','32806']",3,2,2087,Residential,775000
"['1704','Curry','Ford','Road','Orlando','FL','32806']",3,2,1586,Residential,369900
"['8114','Port','Said','Street','Orlando','FL','32817']",3,2,1135,Residential,275000
"['6165','Carrier','Drive','1210','Orlando','FL','32819']",1,1,408,Residential,158000
"['2000','Gerda','Terrace','Orlando','FL','32804']",5,3,3249,Residential,874900
"['4400','Elaine','Place','Orlando','FL','32812']",3,2,1574,Residential,409900
"['1848','Patterson','Avenue','Orlando','FL','32811']",3,1,1020,Residential,250000
"['8761','The','Esplanade','9','Orlando','FL','32836']",2,2,2162,Residential,619900
"['9950','Indigo','Bay','Circle','Orlando','FL','32832']",5,3,2700,Residential,594900
"['4507','Misty','Morn','Circle','Orlando','FL','32812']",4,2,1792,Residential,479800
"['614','Terrace','Cove','Way','Orlando','FL','32828']",4,2,2296,Residential,450000
"['2443','Long','Meadow','Way','Orlando','FL','32817']",3,2,1185,Residential,359900
"['3641','Borah','Lane','Orlando','FL','32839']",3,2,1533,Residential,335000
"['1017','S','Hiawassee','Road','3736','Orlando','FL','32835']",1,1,673,Residential,155000
"['7316','Balboa','Drive','7316','Orlando','FL','32818']",2,1,971,Residential,116000
"['8419','Karwick','Street','Orlando','FL','32836']",7,6,5422,Residential,1709995
"['1380','Lochbreeze','Way','Orlando','Florida','FL','32828']",4,2,2017,Residential,535000
"['1212','S','Hiawassee','Road','526','Orlando','FL','32835']",3,2,1408,Residential,257000
"['19801','Sheldon','Street','Orlando','FL','32833']",4,2,2431,Residential,625000
"['7519','Pacific','Heights','Circle','Orlando','FL','32835']",3,2,1183,Residential,300000
"['7826','Dausset','Street','Orlando','FL','32827']",4,3,2988,Residential,1000000
"['9875','Magnolia','Woods','Boulevard','Orlando','FL','32832']",4,3,2133,Residential,500000
"['8045','Elmstone','Circle','Orlando','FL','32822']",3,2,1450,Residential,379000
"['1065','S','Hiawassee','Road','1417','Orlando','FL','32835']",2,2,934,Residential,195000
"['6499','Royal','Tern','Street','Orlando','FL','32810']",3,2,1746,Residential,389900
"['5848','Windhover','Drive','5848','Orlando','FL','32819']",2,2,1258,Residential,229990
"['2500','Woodgate','Boulevard','206','Orlando','FL','32822']",2,2,900,Residential,169500
"['14237','Bella','Lane','Orlando','FL','32832']",5,4,3735,Residential,1295000
"['14730','Chadderton','Court','Orlando','FL','32824']",4,3,2707,Residential,510900
"['720','Tuten','Trail','Orlando','FL','32828']",4,3,2517,Residential,495000
"['11837','Old','Glory','Drive','Orlando','FL','32837']",3,2,1916,Residential,445000
"['5433','Lake','Margaret','Drive','194','Orlando','FL','32812']",2,2,1023,Residential,212000
"['20637','Netherland','Street','Orlando','FL','32833']",4,4,2784,Residential,499000
"['5229','Marbella','Isle','Drive','Orlando','FL','32837']",3,2,1640,Residential,435000
"['12610','Michigan','Woods','Court','Orlando','FL','32824']",3,2,1348,Residential,340000
"['155','S','Court','Avenue','1910','Orlando','FL','32801']",1,1,804,Residential,298925
"['5710','Cardinals','Guard','Ave','Orlando','FL','32839']",3,2,1000,Residential,265000
"['3727','S','Lake','Orlando','Parkway','7','Orlando','FL','32808']",2,1,1021,Residential,174000
"['3108','San','Leo','Drive','Orlando','FL','32820']",4,3,3622,Residential,610000
"['3022','Troy','Drive','Orlando','FL','32806']",3,2,2446,Residential,899999
"['9717','Pecky','Cypress','Way','Orlando','FL','32836']",3,2,2241,Residential,499990
"['125','Sandhill','Crane','Run','Orlando','FL','32828']",4,2,1931,Residential,410000
"['524','Vern','Drive','Orlando','FL','32805']",3,2,1825,Residential,333000
"['4508','Southmore','Drive','Orlando','FL','32812']",4,2,1161,Residential,315000
"['11523','Thurston','Way','Orlando','FL','32837']",2,2,1117,Residential,270000
"['5411','Fairwood','Way','302','Orlando','FL','32808']",3,2,1472,Residential,143900
"['5429','Brookswood','Way','804','Orlando','FL','32808']",2,2,1270,Residential,125900
"['155','S','Court','Avenue','Orlando','FL','32801']",1,1,729,Residential,291900
"['7699','Milano','Drive','Orlando','FL','32835']",4,3,2667,Residential,735000
"['9740','9th','Avenue','Orlando','FL','32824']",4,2,1750,Residential,380000
"['935','N','Hyer','Avenue','Orlando','FL','32803']",3,2,1982,Residential,550000
"['5156','Conroy','Road','1124','Orlando','FL','32811']",2,2,1028,Residential,189000
"['155','S','Court','Avenue','Orlando','FL','32801']",2,2,1261,Residential,414900
"['19320','Oberly','Parkway','Orlando','FL','32833']",4,3,2686,Residential,799000
"['16','Nancy','Lee','Avenue','Orlando','FL','32807']",3,1,1290,Residential,390000
"['4386','Lake','Underhill','Road','C','Orlando','FL','32803']",2,2,1250,Residential,218000
"['13119','Granger','Avenue','Orlando','FL','32827']",5,4,4054,Residential,1049777
"['1887','Florence','Vista','Boulevard','Orlando','FL','32818']",5,3,2770,Residential,500000
"['706','Braidwood','Lane','Orlando','FL','32803']",3,2,1651,Residential,449900
"['11797','Tidal','Alley','Orlando','FL','32832']",4,2,1678,Residential,445000
"['1617','Florinda','Drive','Orlando','FL','32804']",5,2,1500,Residential,395000
"['9307','Telfer','Run','Orlando','FL','32817']",3,2,1533,Residential,389900
"['838','Ellwood','Avenue','Orlando','FL','32804']",2,1,912,Residential,369900
