Title,Beds,Baths,Square Feet,Property Title,Listing Price
"['6648', 'TIME', 'SQUARE', 'AVENUE,', 'Orlando,', 'FL', '32835']",2 BedsBds,3 BathsBa,"1,548 SqftSqft",Residential,"$260,000 USD"
"['1617', 'BREN', 'LEE', 'COURT,', 'Orlando,', 'FL', '32805']",3 BedsBds,2 BathsBa,"1,357 SqftSqft",Residential,"$246,000 USD"
"['3187', 'Azolla', 'St', ',', 'Orlando,', 'FL', '32808']",3 BedsBds,2.5 BathsBa,NaN,Townhouse,"$349,900 USD"
"['4200', 'THORNBRIAR', 'LANE,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,"1,000 SqftSqft",Residential,"$170,000 USD"
"['1614', 'ROOSEVELT', 'AVENUE,', 'Orlando,', 'FL', '32804']",2 BedsBds,1 BathBa,"1,026 SqftSqft",Residential,"$362,000 USD"
"['1734', 'VALLEY', 'FORGE', 'ROAD,', 'Orlando,', 'FL', '32806']",4 BedsBds,2 BathsBa,"2,000 SqftSqft",Residential,"$565,000 USD"
"['5206', 'MYSTIC', 'POINT', 'COURT,', 'Orlando,', 'FL', '32812']",4 BedsBds,2 BathsBa,"1,851 SqftSqft",Residential,"$449,000 USD"
"['3851', 'ATRIUM,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,820 SqftSqft,Residential,"$188,000 USD"
"['10358', 'MARCONI', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"2,411 SqftSqft",Residential,"$731,450 USD"
"['1422', 'MAURY', 'ROAD,', 'Orlando,', 'FL', '32804']",3 BedsBds,2 BathsBa,"1,655 SqftSqft",Residential,"$495,000 USD"
"['8634', 'FARTHINGTON', 'WAY,', 'Orlando,', 'FL', '32827']",5 BedsBds,6 BathsBa,"5,129 SqftSqft",Residential,"$2,750,000 USD"
"['3187', 'AZOLLA', 'STREET,', 'Orlando,', 'FL', '32808']",3 BedsBds,3 BathsBa,"1,594 SqftSqft",Residential,"$349,900 USD"
"['10262', 'CHILTERN', 'GARDEN', 'DRIVE,', 'Orlando,', 'FL', '32827']",3 BedsBds,4 BathsBa,"2,486 SqftSqft",Residential,"$1,650,000 USD"
"['900', 'ARLINGTON', 'STREET,', 'Orlando,', 'FL', '32805']",NaN,NaN,NaN,Lots And Land,"$350,000 USD             50K"
"['8704', 'Crick', 'Alley,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"2,758 SqftSqft",Residential,"$667,990 USD"
"['1907', 'ILLINOIS', 'STREET,', 'Orlando,', 'FL', '32803']",5 BedsBds,4 BathsBa,"2,848 SqftSqft",Residential,"$1,200,000 USD"
