Beds,Baths,Square Feet,lotSize,Property Type,Listing Price,Address,city
4,2,1489,10646,Condominium,239000,6663 Queens Borough Ave E #302,Orlando
3,2.5,2119,NaN,Multi Family,674990,10757 Pahokee Beach Pl,Orlando
3,2,1801,7941,Condominium,570000,1819 Common Way Rd #27-201,Orlando
4,3,1861,2110,Townhouse,489900,14351 Sapelo Beach Dr,Orlando
3,2,1629,10202,Residential - Single Family,359900,5489 Caurus Ct,Orlando
4,2,1920,13489,Residential - Single Family,385000,3245 Escondido Dr,Orlando
1,1,774,87729,Condominium,235500,860 N Orange Ave #429,Orlando
3,2,1608,6325,Residential - Single Family,509900,6428 Winder Oaks Blvd,Orlando
4,2,1724,6615,Residential - Single Family,725000,220 E Harvard St,Orlando
2,2,1093,7250,Condominium,225000,4374 Middlebrook Rd #4374,Orlando
6,4,2172,7022,Multi Family,599900,2801 E Central Blvd,Orlando
3,3,3211,8227,Residential - Single Family,819999,3620 Pelican Ln,Orlando
4,2,1609,7500,Residential - Single Family,379000,621 Morocco Ave,Orlando
4,2,1289,7370,Residential - Single Family,275000,3463 Fekany Pl,Orlando
4,3,1841,6752,Residential - Single Family,450000,938 S Bumby Ave,Orlando
4,3,2628,6000,Residential - Single Family,750000,9803 Sweetleaf St,Orlando
2,3,1517,2355,Townhouse,430000,8653 Tavistock Lakes Blvd,Orlando
3,2,1509,9100,Residential - Single Family,445000,2610 Elizabeth Ave,Orlando
4,3,2657,8690,Residential - Single Family,600000,7061 Lake Carlisle Blvd,Orlando
3,2,1412,10297,Residential - Single Family,425000,3017 Vine St,Orlando
5,3,2360,7161,Residential - Single Family,499900,3825 Lake Warren Dr,Orlando
1,1,673,7883,Condominium,169990,1017 S Hiawassee Rd #3733,Orlando
2,2,997,961,Condominium,155000,4601 Lighthouse Cir #109,Orlando
2,3,1250,698,Condominium,265500,2532 Grand Central Pkwy #8,Orlando
3,2,1571,9171,Residential - Single Family,360000,3171 Oak Bluff Dr,Orlando
4,3,2535,6918,Residential - Single Family,699900,512 E Amelia St,Orlando
2,2,836,3784,Condominium,249999,1059 S Hiawassee Rd #1824,Orlando
3,2,2129,16012,Condominium,380000,3368 Robert Trent Jones Dr #40808,Orlando
3,2,2072,8454,Residential - Single Family,635000,361 Brassie Dr,Orlando
3,2,1252,4558,Residential - Single Family,359000,2005 Winslow Dr,Orlando
5,5,3314,6605,Residential - Single Family,1200000,14172 Moniz Ave,Orlando
4,3,1858,NaN,Residential - Single Family,523990,14350 Orchid Island Dr,Orlando
3,1,1045,6818,Residential - Single Family,249999,1316 Deerock Dr,Orlando
3,2,2285,7800,Residential - Single Family,425000,1808 Edmundshire Rd,Orlando
3,2,1503,9098,Residential - Single Family,390000,502 El Vedado Ave,Orlando
1,1,629,565755,Condominium,149900,3236 S Semoran Blvd #24,Orlando
4,3,2541,12150,Residential - Single Family,475000,9030 Verona Sound Way,Orlando
2,2,1299,93462,Condominium,280000,2426 Tack Room Ln #8,Orlando
4,3,2935,5246,Residential - Single Family,625000,4939 Southlawn Ave,Orlando
5,3,2490,5249,Residential - Single Family,620000,4917 Maple Park St,Orlando
